Month,Day,MAPE
1.0,1.0,10.949650642249527
1.0,2.0,20.16306251912048
1.0,3.0,23.356849541955405
1.0,4.0,34.10204239843586
1.0,5.0,38.61531644367669
1.0,6.0,6.73121178373647
1.0,7.0,3.9400111065225585
1.0,8.0,29.98027321634088
1.0,9.0,29.03265485922389
1.0,10.0,29.489343026349772
1.0,11.0,27.80350509085288
1.0,12.0,42.05501301758468
1.0,13.0,10.528563787156632
1.0,14.0,9.772689856764122
1.0,15.0,21.157497586187493
1.0,16.0,25.087069408082257
1.0,17.0,25.351042532675056
1.0,18.0,30.833305509402987
1.0,19.0,33.651194455028154
1.0,20.0,7.108908272382837
1.0,21.0,8.879707365522178
1.0,22.0,23.514001549238518
1.0,23.0,28.17381281082689
1.0,24.0,38.316512446695256
1.0,25.0,43.91916295100409
1.0,26.0,18.465843675690653
1.0,27.0,11.64913736827755
1.0,28.0,11.613286647482395
1.0,29.0,27.917415037481746
1.0,30.0,29.168306271640095
1.0,31.0,33.943433749452794
1.0,2.0,20.16306251912048
2.0,2.0,36.42704731200401
2.0,3.0,7.100353182431214
2.0,4.0,9.207507227351867
2.0,5.0,31.076653053736873
2.0,6.0,32.73051551921086
2.0,7.0,29.39811342734676
2.0,8.0,29.367958346210948
2.0,9.0,35.567367229709006
2.0,10.0,10.801731156945522
2.0,11.0,9.620442632171185
2.0,12.0,29.341814674662775
2.0,13.0,27.19636145337671
2.0,14.0,29.479779198285577
2.0,15.0,10.913966767424627
2.0,16.0,12.122718392398667
2.0,17.0,9.978155748963944
2.0,18.0,14.4697540508817
2.0,19.0,26.09462450811677
2.0,20.0,22.972077004320028
2.0,21.0,25.337029553599972
2.0,22.0,33.059662014405106
2.0,23.0,34.96875405405549
2.0,24.0,6.694034468425096
2.0,25.0,9.154208689033368
2.0,26.0,29.186072033727488
2.0,27.0,22.815020463302496
2.0,28.0,22.74625074726082
1.0,3.0,23.356849541955405
2.0,3.0,7.100353182431214
3.0,3.0,10.190295734540673
3.0,4.0,8.978757071541894
3.0,5.0,21.643611292242856
3.0,6.0,15.25348831138863
3.0,7.0,24.891986975081657
3.0,8.0,23.6184482741159
3.0,9.0,26.450651777809558
3.0,10.0,7.65418603179751
3.0,11.0,8.567243939241582
3.0,12.0,18.571828681097426
3.0,13.0,13.476504031587769
3.0,14.0,14.500729113090744
3.0,15.0,9.446490675715424
3.0,16.0,16.4774222151892
3.0,17.0,6.169653643726361
3.0,18.0,4.752493042427078
3.0,19.0,12.892047297285544
3.0,20.0,16.465280165339728
3.0,21.0,25.22062195695573
3.0,22.0,16.86883608398065
3.0,23.0,21.32751141587996
3.0,24.0,6.015321449693781
3.0,25.0,6.032954513083149
3.0,26.0,14.302651800726432
3.0,27.0,9.148915217576418
3.0,28.0,8.94952470288072
3.0,29.0,9.798568981386165
3.0,30.0,16.343571516616674
3.0,31.0,6.2190010250232675
1.0,4.0,34.10204239843586
2.0,4.0,9.207507227351867
3.0,4.0,8.978757071541894
4.0,4.0,9.498970153191307
4.0,5.0,7.300747180408685
4.0,6.0,8.737180145562895
4.0,7.0,9.118853502457682
4.0,8.0,4.878369196266239
4.0,9.0,7.346579879454283
4.0,10.0,9.41444304310948
4.0,11.0,9.887421944468507
4.0,12.0,9.480303069618852
4.0,13.0,8.180628619555009
4.0,14.0,4.300910242175407
4.0,15.0,4.297672337003345
4.0,16.0,7.891706370351283
4.0,17.0,7.891548345007237
4.0,18.0,6.297855512959287
4.0,19.0,8.692752798655967
4.0,20.0,9.616575473461094
4.0,21.0,5.752389780364419
4.0,22.0,5.4957331960358475
4.0,23.0,5.065181034784469
4.0,24.0,5.415648471926417
4.0,25.0,5.990322111507901
4.0,26.0,6.190997682156165
4.0,27.0,7.345164354521192
4.0,28.0,6.420495165890953
4.0,29.0,5.523036814125617
4.0,30.0,10.484008609496602
1.0,5.0,38.61531644367669
2.0,5.0,31.076653053736873
3.0,5.0,21.643611292242856
4.0,5.0,7.300747180408685
5.0,5.0,9.614805454172021
5.0,6.0,7.115729623084964
5.0,7.0,13.120878361526486
5.0,8.0,7.404368594781347
5.0,9.0,6.155167752444996
5.0,10.0,6.158763816667044
5.0,11.0,6.441117178081559
5.0,12.0,2.8695446177497237
5.0,13.0,5.40983366648964
5.0,14.0,11.975344755305644
5.0,15.0,9.179581076813204
5.0,16.0,8.91569445029799
5.0,17.0,11.136821004133036
5.0,18.0,10.926762615420998
5.0,19.0,6.7490422756669295
5.0,20.0,6.755240279069184
5.0,21.0,9.32145280190973
5.0,22.0,18.228296186861073
5.0,23.0,4.968484329822818
5.0,24.0,4.72176980193435
5.0,25.0,7.236592170174343
5.0,26.0,6.194258937846867
5.0,27.0,3.8973432460407893
5.0,28.0,8.57714337710248
5.0,29.0,9.91816098569036
5.0,30.0,13.304413349461216
5.0,31.0,11.109518080960628
1.0,6.0,6.73121178373647
2.0,6.0,32.73051551921086
3.0,6.0,15.25348831138863
4.0,6.0,8.737180145562895
5.0,6.0,7.115729623084964
6.0,6.0,16.79434401239525
6.0,7.0,33.50642314919548
6.0,8.0,15.720652038681148
6.0,9.0,5.7851958929751275
6.0,10.0,5.017392959408504
6.0,11.0,11.57774774781523
6.0,12.0,10.203024738371665
6.0,13.0,10.89348441671593
6.0,14.0,14.362759981988374
6.0,15.0,14.534073615655826
6.0,16.0,3.4653640049608483
6.0,17.0,4.234215741723621
6.0,18.0,17.287268475033766
6.0,19.0,23.540513198630357
6.0,20.0,21.134887610872298
6.0,21.0,18.97146430351686
6.0,22.0,17.503331314119617
6.0,23.0,5.260124957734028
6.0,24.0,9.982095243544302
6.0,25.0,17.299065193455125
6.0,26.0,19.766848354156828
6.0,27.0,21.595168262717745
6.0,28.0,22.12239079941364
6.0,29.0,22.46959114861519
6.0,30.0,6.1107967119295035
1.0,7.0,3.9400111065225585
2.0,7.0,29.39811342734676
3.0,7.0,24.891986975081657
4.0,7.0,9.118853502457682
5.0,7.0,13.120878361526486
6.0,7.0,33.50642314919548
7.0,7.0,15.193415308360636
7.0,8.0,18.96605061344675
7.0,9.0,16.6327230053709
7.0,10.0,21.91472742401913
7.0,11.0,22.60548471648448
7.0,12.0,26.338554957492438
7.0,13.0,30.414986457500788
7.0,14.0,14.377629752061416
7.0,15.0,15.62204986017355
